order_id,date,category,city,platform,payment_method,quantity,unit_price,revenue,order_status,delivery_days,rating
NG-10040,2023-02-06,Beauty,Enugu,Jumia,Transfer,1,16700.0,16700.0,Delivered,6,3.0
NG-10041,2023-09-11,Beauty,Lagos,Instagram Shop,Transfer,2,10100.0,20200.0,Delivered,1,4.2
NG-10042,2023-07-29,Fashion,Abuja,WhatsApp Business,Cash on Delivery,3,12800.0,38400.0,Delivered,2,4.2
NG-10043,2023-06-30,Beauty,Abuja,WhatsApp Business,Transfer,2,21000.0,0.0,Cancelled,1,
NG-10044,2023-08-15,Sports,Lagos,Jumia,Transfer,4,24600.0,98400.0,Delivered,10,4.8
NG-10045,2023-07-19,Home & Living,Benin City,Jiji,Card,1,50300.0,50300.0,Delivered,6,4.9
NG-10046,2023-11-28,Electronics,Port Harcourt,WhatsApp Business,Pay on Delivery,1,312600.0,312600.0,Delivered,7,3.0
NG-10047,2023-07-05,Electronics,Ibadan,WhatsApp Business,Transfer,3,124800.0,374400.0,Delivered,6,3.1
NG-10048,2023-01-14,Home & Living,Kano,WhatsApp Business,Card,3,55400.0,0.0,Returned,4,
NG-10049,2023-09-21,Sports,Enugu,Konga,Cash on Delivery,3,10000.0,30000.0,Delivered,10,2.8
NG-10050,2023-11-30,Sports,Port Harcourt,Instagram Shop,Cash on Delivery,4,30000.0,120000.0,Delivered,4,3.1
NG-10051,2023-08-23,Food & Drink,Abuja,Jiji,Pay on Delivery,1,4100.0,4100.0,Delivered,8,2.6
NG-10052,2023-03-23,Books,Port Harcourt,Konga,Cash on Delivery,2,4300.0,0.0,Returned,1,
NG-10053,2023-08-23,Fashion,Kano,WhatsApp Business,Cash on Delivery,3,35700.0,107100.0,Delivered,1,3.7
NG-10054,2023-08-25,Fashion,Abuja,Instagram Shop,Pay on Delivery,2,18600.0,37200.0,Delivered,2,3.5
NG-10055,2023-05-09,Books,Abuja,Jumia,Transfer,1,3800.0,0.0,Returned,10,
NG-10056,2023-05-08,Books,Port Harcourt,Jiji,Card,1,4700.0,4700.0,Delivered,10,2.9
NG-10057,2023-09-11,Beauty,Lagos,Jiji,Pay on Delivery,2,16900.0,33800.0,Delivered,6,2.6
NG-10058,2023-05-15,Fashion,Lagos,Jumia,Card,2,11100.0,0.0,Returned,10,
NG-10059,2023-08-16,Sports,Kano,WhatsApp Business,Pay on Delivery,2,32600.0,0.0,Returned,9,
NG-10060,2023-07-07,Beauty,Kano,Instagram Shop,Cash on Delivery,1,11900.0,11900.0,Delivered,9,3.4
NG-10061,2023-11-26,Home & Living,Lagos,Konga,Pay on Delivery,2,21800.0,0.0,Returned,10,
NG-10062,2023-01-07,Sports,Lagos,Jiji,USSD,4,8900.0,35600.0,Delivered,4,3.3
NG-10063,2023-11-16,Fashion,Lagos,Konga,Pay on Delivery,2,22200.0,44400.0,Delivered,2,4.6
NG-10064,2023-03-04,Electronics,Kano,Konga,Pay on Delivery,1,274200.0,274200.0,Delivered,1,3.0
NG-10065,2023-02-19,Fashion,Kano,WhatsApp Business,Pay on Delivery,2,35800.0,71600.0,Delivered,1,3.0
NG-10066,2023-12-18,Food & Drink,Ibadan,Instagram Shop,Card,3,2800.0,8400.0,Delivered,10,4.7
NG-10067,2023-10-24,Food & Drink,Ibadan,Konga,Card,4,800.0,0.0,Returned,2,
NG-10068,2023-09-29,Books,Port Harcourt,Jiji,Cash on Delivery,4,11600.0,46400.0,Delivered,5,3.2
NG-10069,2023-05-28,Food & Drink,Lagos,Jumia,Cash on Delivery,3,7400.0,0.0,Cancelled,6,
NG-10070,2023-07-19,Books,Lagos,Instagram Shop,Transfer,2,9700.0,19400.0,Delivered,1,3.2
NG-10071,2023-02-24,Beauty,Abuja,Konga,Pay on Delivery,4,19200.0,0.0,Returned,6,
NG-10072,2023-11-08,Sports,Kano,Jumia,Cash on Delivery,4,15100.0,60400.0,Delivered,9,3.6
NG-10073,2023-06-22,Electronics,Lagos,Konga,Cash on Delivery,2,93900.0,187800.0,Delivered,4,4.2
NG-10074,2023-12-25,Sports,Lagos,Konga,USSD,4,23900.0,0.0,Cancelled,8,
NG-10075,2023-12-23,Electronics,Lagos,Konga,USSD,2,174300.0,348600.0,Delivered,6,4.7
NG-10076,2023-01-15,Home & Living,Port Harcourt,Jiji,USSD,2,33500.0,0.0,Cancelled,4,
NG-10077,2023-01-13,Books,Ibadan,Konga,Cash on Delivery,2,11800.0,23600.0,Delivered,9,4.6
NG-10078,2023-05-31,Electronics,Abuja,Jumia,Transfer,4,485100.0,1940400.0,Delivered,1,3.8
NG-10079,2023-08-31,Books,Lagos,Jiji,Card,4,2000.0,8000.0,Delivered,3,2.7
NG-10080,2023-05-30,Home & Living,Enugu,Instagram Shop,Pay on Delivery,4,48700.0,0.0,Returned,2,
NG-10081,2023-05-12,Beauty,Ibadan,Jiji,USSD,4,10000.0,0.0,Returned,6,
NG-10082,2023-03-24,Electronics,Lagos,Konga,Card,3,272000.0,816000.0,Delivered,6,3.2
NG-10083,2023-09-16,Fashion,Port Harcourt,Jumia,Transfer,3,10000.0,30000.0,Delivered,6,2.6
NG-10084,2023-06-15,Home & Living,Ibadan,Konga,Pay on Delivery,2,56200.0,0.0,Cancelled,4,
NG-10085,2023-06-17,Fashion,Abuja,Instagram Shop,USSD,3,10300.0,30900.0,Delivered,1,4.3
NG-10086,2023-08-10,Electronics,Lagos,Jumia,Pay on Delivery,2,160100.0,320200.0,Delivered,8,5.0
NG-10087,2023-11-12,Food & Drink,Lagos,Jumia,Cash on Delivery,2,5800.0,0.0,Returned,8,
NG-10088,2023-03-27,Fashion,Kaduna,Jumia,Pay on Delivery,4,40900.0,0.0,Cancelled,1,
NG-10089,2023-11-22,Sports,Abuja,Jumia,Cash on Delivery,3,46900.0,140700.0,Delivered,2,4.1
NG-10090,2023-09-08,Home & Living,Ibadan,Jiji,Transfer,4,35600.0,142400.0,Delivered,5,3.0
NG-10091,2023-07-30,Fashion,Lagos,Jiji,Cash on Delivery,2,41900.0,83800.0,Delivered,9,3.9
NG-10092,2023-11-25,Sports,Kaduna,Instagram Shop,USSD,1,10500.0,10500.0,Delivered,8,4.7
NG-10093,2023-08-31,Beauty,Kano,WhatsApp Business,USSD,2,13900.0,27800.0,Delivered,6,4.4
NG-10094,2023-04-28,Home & Living,Abuja,Konga,Pay on Delivery,4,49200.0,196800.0,Delivered,9,3.0
NG-10095,2023-09-04,Electronics,Lagos,WhatsApp Business,Pay on Delivery,2,60900.0,0.0,Returned,5,
NG-10096,2023-11-26,Electronics,Enugu,WhatsApp Business,Card,1,258500.0,258500.0,Delivered,4,4.6
NG-10097,2023-10-11,Home & Living,Abuja,Konga,Cash on Delivery,1,17800.0,0.0,Cancelled,7,
NG-10098,2023-12-21,Sports,Lagos,Jumia,USSD,4,51500.0,206000.0,Delivered,7,3.6
NG-10099,2023-11-19,Food & Drink,Kaduna,Instagram Shop,USSD,3,2000.0,0.0,Returned,10,
NG-10100,2023-05-09,Sports,Port Harcourt,WhatsApp Business,Cash on Delivery,1,54000.0,54000.0,Delivered,9,4.9
NG-10101,2023-04-30,Fashion,Benin City,Konga,Transfer,2,14100.0,28200.0,Delivered,10,2.8
NG-10102,2023-01-27,Electronics,Lagos,WhatsApp Business,Pay on Delivery,1,167900.0,0.0,Returned,3,
NG-10103,2023-08-26,Electronics,Ibadan,Konga,Transfer,4,480800.0,1923200.0,Delivered,10,5.0
NG-10104,2023-07-16,Food & Drink,Lagos,Konga,Pay on Delivery,4,5300.0,21200.0,Delivered,3,2.8
NG-10105,2023-07-15,Fashion,Lagos,Instagram Shop,USSD,3,7800.0,23400.0,Delivered,2,3.9
NG-10106,2023-09-26,Books,Lagos,Jiji,Transfer,4,9000.0,0.0,Cancelled,6,
NG-10107,2023-08-22,Home & Living,Ibadan,Instagram Shop,Cash on Delivery,3,42400.0,0.0,Returned,8,
NG-10108,2023-11-26,Books,Abuja,WhatsApp Business,USSD,1,4100.0,4100.0,Delivered,4,4.4
NG-10109,2023-08-11,Food & Drink,Lagos,Jiji,Transfer,4,2500.0,0.0,Returned,6,
NG-10110,2023-05-25,Beauty,Port Harcourt,Jumia,Card,3,21300.0,0.0,Returned,5,
NG-10111,2023-08-29,Fashion,Kaduna,Instagram Shop,USSD,4,30900.0,123600.0,Delivered,7,4.5
NG-10112,2023-03-13,Electronics,Ibadan,Jumia,Transfer,1,270100.0,270100.0,Delivered,6,3.9
NG-10113,2023-09-22,Sports,Abuja,WhatsApp Business,Cash on Delivery,4,26700.0,106800.0,Delivered,8,2.7
NG-10114,2023-04-16,Electronics,Lagos,Konga,Card,2,216800.0,433600.0,Delivered,6,2.9
NG-10115,2023-07-25,Home & Living,Kano,WhatsApp Business,USSD,2,34800.0,69600.0,Delivered,1,4.6
NG-10116,2023-07-16,Sports,Kaduna,Jiji,Card,2,46300.0,0.0,Returned,6,
NG-10117,2023-10-04,Food & Drink,Lagos,Instagram Shop,Pay on Delivery,3,6100.0,18300.0,Delivered,10,2.6
NG-10118,2023-02-11,Food & Drink,Port Harcourt,Jiji,Card,4,2900.0,0.0,Cancelled,5,
NG-10119,2023-03-09,Sports,Port Harcourt,Konga,Pay on Delivery,2,21800.0,0.0,Cancelled,1,
NG-10120,2023-09-25,Books,Abuja,Jumia,USSD,2,3900.0,7800.0,Delivered,7,4.5
NG-10121,2023-06-27,Sports,Ibadan,Instagram Shop,Cash on Delivery,1,39700.0,0.0,Returned,5,
NG-10122,2023-12-07,Fashion,Lagos,Konga,Cash on Delivery,3,23400.0,70200.0,Delivered,7,3.0
NG-10123,2023-05-13,Home & Living,Abuja,Jiji,Card,1,17300.0,17300.0,Delivered,3,2.9
NG-10124,2023-11-23,Sports,Abuja,Jiji,Cash on Delivery,2,55100.0,110200.0,Delivered,6,3.0
NG-10125,2023-05-25,Fashion,Kano,Jiji,USSD,2,39300.0,0.0,Returned,6,
NG-10126,2023-06-24,Food & Drink,Enugu,Jumia,USSD,2,3300.0,0.0,Cancelled,4,
NG-10127,2023-11-03,Home & Living,Lagos,WhatsApp Business,Card,4,24400.0,97600.0,Delivered,10,3.3
NG-10128,2023-12-11,Fashion,Lagos,Instagram Shop,Pay on Delivery,4,27100.0,0.0,Returned,3,
NG-10129,2023-11-27,Books,Abuja,WhatsApp Business,Pay on Delivery,4,11600.0,46400.0,Delivered,1,2.9
NG-10130,2023-08-07,Beauty,Lagos,Jumia,USSD,4,13100.0,52400.0,Delivered,4,3.2
NG-10131,2023-06-21,Beauty,Lagos,Jiji,Cash on Delivery,2,12800.0,0.0,Returned,3,
NG-10132,2023-09-05,Sports,Port Harcourt,WhatsApp Business,Transfer,3,52200.0,156600.0,Delivered,10,4.5
NG-10133,2023-02-10,Books,Enugu,Konga,Card,4,3700.0,0.0,Returned,6,
NG-10134,2023-08-31,Electronics,Kano,Jiji,Card,3,406600.0,0.0,Returned,4,
NG-10135,2023-06-15,Food & Drink,Abuja,WhatsApp Business,USSD,2,2800.0,5600.0,Delivered,10,3.2
NG-10136,2023-08-17,Sports,Abuja,Konga,Card,1,5200.0,5200.0,Delivered,1,4.5
NG-10137,2023-11-11,Electronics,Lagos,Konga,Pay on Delivery,4,130300.0,0.0,Returned,4,
NG-10138,2023-12-14,Fashion,Ibadan,Instagram Shop,Pay on Delivery,1,21600.0,0.0,Returned,1,
NG-10139,2023-04-12,Electronics,Kaduna,Jumia,Card,4,249100.0,996400.0,Delivered,10,4.5
NG-10140,2023-04-11,Sports,Lagos,WhatsApp Business,Card,3,40100.0,120300.0,Delivered,5,4.4
NG-10141,2023-10-30,Electronics,Lagos,WhatsApp Business,Cash on Delivery,4,214400.0,857600.0,Delivered,7,4.4
NG-10142,2023-01-27,Beauty,Abuja,Instagram Shop,Cash on Delivery,1,23600.0,23600.0,Delivered,2,3.3
NG-10143,2023-11-19,Beauty,Abuja,Jumia,Pay on Delivery,3,16900.0,0.0,Cancelled,1,
NG-10144,2023-02-19,Beauty,Port Harcourt,Konga,USSD,3,7200.0,21600.0,Delivered,9,2.5
NG-10145,2023-06-27,Food & Drink,Ibadan,Jumia,Transfer,2,600.0,1200.0,Delivered,6,3.6
NG-10146,2023-11-24,Fashion,Lagos,Instagram Shop,Pay on Delivery,2,11400.0,0.0,Cancelled,2,
NG-10147,2023-07-04,Beauty,Lagos,Jiji,USSD,2,12300.0,24600.0,Delivered,5,3.6
NG-10148,2023-11-02,Books,Abuja,Instagram Shop,USSD,2,9700.0,0.0,Cancelled,3,
NG-10149,2023-03-19,Food & Drink,Lagos,WhatsApp Business,Cash on Delivery,3,2600.0,0.0,Returned,1,
NG-10150,2023-11-12,Sports,Lagos,WhatsApp Business,Cash on Delivery,3,52700.0,0.0,Returned,3,
NG-10151,2023-08-16,Books,Lagos,Jiji,Cash on Delivery,2,7900.0,0.0,Returned,2,
NG-10152,2023-05-18,Home & Living,Kano,Jumia,Card,3,76600.0,229800.0,Delivered,4,3.0
NG-10153,2023-08-27,Fashion,Kaduna,Jiji,Pay on Delivery,3,29900.0,89700.0,Delivered,9,3.9
NG-10154,2023-06-03,Home & Living,Ibadan,Instagram Shop,Card,1,43100.0,0.0,Cancelled,6,
NG-10155,2023-03-09,Sports,Kaduna,Jumia,Transfer,4,38700.0,0.0,Returned,9,
NG-10156,2023-03-10,Home & Living,Abuja,Konga,Transfer,2,70300.0,140600.0,Delivered,3,3.0
NG-10157,2023-04-05,Electronics,Ibadan,Instagram Shop,Pay on Delivery,3,482300.0,0.0,Cancelled,8,
NG-10158,2023-07-30,Fashion,Enugu,Jumia,Cash on Delivery,1,34500.0,0.0,Cancelled,2,
NG-10159,2023-09-14,Beauty,Lagos,WhatsApp Business,Cash on Delivery,4,5700.0,0.0,Cancelled,3,
NG-10160,2023-01-05,Fashion,Abuja,Konga,Card,1,18500.0,0.0,Cancelled,3,
NG-10161,2023-10-05,Beauty,Lagos,WhatsApp Business,USSD,3,18100.0,54300.0,Delivered,6,4.3
NG-10162,2023-11-05,Sports,Abuja,Instagram Shop,USSD,1,25900.0,0.0,Returned,2,
NG-10163,2023-06-15,Home & Living,Benin City,Instagram Shop,Cash on Delivery,1,44500.0,44500.0,Delivered,5,4.8
NG-10164,2023-01-06,Food & Drink,Lagos,Jumia,Card,1,2200.0,2200.0,Delivered,8,4.5
NG-10165,2023-07-24,Sports,Kaduna,Instagram Shop,Cash on Delivery,3,43900.0,0.0,Returned,3,
NG-10166,2023-09-30,Electronics,Kano,Jumia,Pay on Delivery,1,438900.0,0.0,Cancelled,4,
NG-10167,2023-01-18,Food & Drink,Port Harcourt,Instagram Shop,Cash on Delivery,2,3200.0,6400.0,Delivered,1,3.6
NG-10168,2023-03-08,Books,Ibadan,Instagram Shop,Cash on Delivery,4,3700.0,14800.0,Delivered,10,3.9
NG-10169,2023-02-22,Electronics,Benin City,Instagram Shop,Card,2,20200.0,40400.0,Delivered,2,4.9
NG-10170,2023-03-29,Home & Living,Lagos,Konga,Card,4,42300.0,169200.0,Delivered,9,3.1
NG-10171,2023-02-04,Books,Lagos,Instagram Shop,USSD,4,4300.0,17200.0,Delivered,8,4.0
NG-10172,2023-12-13,Sports,Kano,WhatsApp Business,Pay on Delivery,4,38000.0,0.0,Cancelled,6,
NG-10173,2023-08-31,Books,Lagos,WhatsApp Business,Pay on Delivery,3,10800.0,32400.0,Delivered,8,4.1
NG-10174,2023-06-21,Books,Lagos,Jumia,USSD,2,1500.0,0.0,Cancelled,5,
NG-10175,2023-10-14,Electronics,Lagos,Konga,USSD,1,211200.0,0.0,Returned,8,
NG-10176,2023-04-06,Food & Drink,Lagos,Jumia,Cash on Delivery,1,3300.0,0.0,Returned,3,
NG-10177,2023-08-08,Fashion,Lagos,Instagram Shop,Transfer,4,44000.0,0.0,Cancelled,8,
NG-10178,2023-02-16,Fashion,Abuja,Konga,USSD,3,36100.0,0.0,Returned,6,
NG-10179,2023-01-28,Books,Ibadan,WhatsApp Business,USSD,1,2100.0,2100.0,Delivered,2,3.0
NG-10180,2023-07-02,Fashion,Port Harcourt,Konga,Pay on Delivery,3,13600.0,40800.0,Delivered,2,2.9
NG-10181,2023-03-12,Beauty,Lagos,Jumia,Cash on Delivery,3,11400.0,0.0,Returned,1,
NG-10182,2023-01-30,Electronics,Lagos,Konga,Card,1,282200.0,0.0,Returned,8,
NG-10183,2023-12-06,Books,Kano,Konga,USSD,4,2700.0,0.0,Cancelled,9,
NG-10184,2023-01-30,Books,Lagos,Jumia,Card,3,11900.0,35700.0,Delivered,7,3.8
NG-10185,2023-11-11,Beauty,Abuja,Konga,Pay on Delivery,2,12600.0,25200.0,Delivered,8,2.5
NG-10186,2023-08-27,Books,Abuja,Jumia,Transfer,3,3000.0,9000.0,Delivered,10,4.8
NG-10187,2023-02-26,Food & Drink,Port Harcourt,Konga,USSD,4,5200.0,20800.0,Delivered,2,4.6
NG-10188,2023-11-25,Sports,Port Harcourt,Jiji,Cash on Delivery,2,38300.0,0.0,Cancelled,2,
NG-10189,2023-06-26,Books,Enugu,Jiji,Card,2,1900.0,3800.0,Delivered,10,4.9
NG-10190,2023-11-07,Fashion,Lagos,Jumia,USSD,3,41400.0,124200.0,Delivered,10,2.5
NG-10191,2023-08-06,Home & Living,Kaduna,WhatsApp Business,USSD,1,30700.0,0.0,Returned,1,
NG-10192,2023-04-22,Electronics,Port Harcourt,Konga,USSD,1,144600.0,144600.0,Delivered,7,5.0
NG-10193,2023-05-05,Books,Abuja,Instagram Shop,USSD,2,3100.0,0.0,Returned,7,
NG-10194,2023-03-11,Beauty,Kano,Jumia,USSD,4,5000.0,20000.0,Delivered,6,4.0
NG-10195,2023-06-24,Food & Drink,Kano,WhatsApp Business,Transfer,4,7500.0,30000.0,Delivered,2,3.1
NG-10196,2023-11-30,Beauty,Enugu,Konga,Transfer,4,7400.0,29600.0,Delivered,8,4.2
NG-10197,2023-11-17,Sports,Kano,Konga,Cash on Delivery,1,43300.0,43300.0,Delivered,3,2.6
NG-10198,2023-05-08,Electronics,Ibadan,Konga,Pay on Delivery,4,324300.0,1297200.0,Delivered,2,3.5
NG-10199,2023-10-30,Sports,Lagos,Konga,USSD,4,22700.0,0.0,Cancelled,3,
NG-10200,2023-09-24,Home & Living,Kano,WhatsApp Business,Cash on Delivery,1,38400.0,38400.0,Delivered,2,2.9
NG-10201,2023-04-15,Sports,Abuja,Jiji,Transfer,1,54200.0,0.0,Cancelled,8,
NG-10202,2023-09-27,Food & Drink,Lagos,WhatsApp Business,Pay on Delivery,3,7700.0,23100.0,Delivered,9,3.0
NG-10203,2023-01-02,Sports,Kaduna,Instagram Shop,Card,3,4700.0,0.0,Returned,10,
NG-10204,2023-12-23,Electronics,Kaduna,WhatsApp Business,Pay on Delivery,1,460700.0,0.0,Returned,1,
NG-10205,2023-12-30,Food & Drink,Lagos,WhatsApp Business,Transfer,4,1700.0,6800.0,Delivered,3,4.2
NG-10206,2023-09-25,Electronics,Port Harcourt,Instagram Shop,Pay on Delivery,4,496100.0,0.0,Returned,9,
NG-10207,2023-05-05,Beauty,Lagos,Jiji,Cash on Delivery,2,3100.0,6200.0,Delivered,5,3.0
NG-10208,2023-12-26,Beauty,Benin City,Konga,USSD,4,5900.0,0.0,Cancelled,2,
NG-10209,2023-03-28,Home & Living,Abuja,WhatsApp Business,Transfer,4,77600.0,310400.0,Delivered,5,4.6
NG-10210,2023-12-16,Home & Living,Lagos,Jiji,Cash on Delivery,4,12300.0,49200.0,Delivered,8,5.0
NG-10211,2023-05-28,Home & Living,Lagos,Jumia,Transfer,2,33300.0,0.0,Returned,9,
NG-10212,2023-01-09,Home & Living,Lagos,Jiji,Pay on Delivery,2,79200.0,158400.0,Delivered,4,3.7
NG-10213,2023-04-10,Sports,Benin City,Jiji,Transfer,4,8000.0,0.0,Cancelled,9,
NG-10214,2023-06-06,Electronics,Lagos,Instagram Shop,Transfer,3,62900.0,0.0,Returned,4,
NG-10215,2023-10-05,Electronics,Abuja,WhatsApp Business,Cash on Delivery,1,360400.0,360400.0,Delivered,3,4.4
NG-10216,2023-10-24,Beauty,Lagos,Instagram Shop,USSD,3,13900.0,41700.0,Delivered,1,4.3
NG-10217,2023-12-23,Beauty,Benin City,Konga,Cash on Delivery,3,11000.0,33000.0,Delivered,10,3.3
NG-10218,2023-04-29,Food & Drink,Lagos,Konga,Cash on Delivery,4,2200.0,8800.0,Delivered,2,3.3
NG-10219,2023-11-21,Food & Drink,Abuja,Konga,Pay on Delivery,1,7900.0,7900.0,Delivered,8,3.5
NG-10220,2023-05-22,Sports,Port Harcourt,WhatsApp Business,Pay on Delivery,1,54500.0,0.0,Cancelled,2,
NG-10221,2023-10-31,Sports,Abuja,Jumia,Card,3,20700.0,62100.0,Delivered,2,3.3
NG-10222,2023-04-15,Beauty,Abuja,Jumia,Pay on Delivery,1,8300.0,8300.0,Delivered,1,3.8
NG-10223,2023-05-27,Home & Living,Lagos,Konga,Cash on Delivery,2,67100.0,134200.0,Delivered,6,4.6
NG-10224,2023-05-25,Electronics,Kaduna,Jiji,USSD,3,336800.0,1010400.0,Delivered,5,4.4
NG-10225,2023-05-25,Sports,Abuja,Instagram Shop,Card,2,45800.0,0.0,Returned,8,
NG-10226,2023-08-29,Sports,Lagos,WhatsApp Business,Card,1,14400.0,0.0,Returned,7,
NG-10227,2023-08-16,Food & Drink,Port Harcourt,Instagram Shop,USSD,3,4700.0,0.0,Cancelled,3,
NG-10228,2023-02-24,Books,Kaduna,Konga,Card,1,11600.0,0.0,Cancelled,7,
NG-10229,2023-12-23,Food & Drink,Lagos,Konga,Card,1,5400.0,5400.0,Delivered,6,4.6
NG-10230,2023-11-04,Food & Drink,Lagos,WhatsApp Business,Cash on Delivery,3,2400.0,7200.0,Delivered,10,3.2
NG-10231,2023-10-27,Electronics,Abuja,Jiji,Cash on Delivery,4,486300.0,1945200.0,Delivered,2,3.8
NG-10232,2023-08-01,Fashion,Benin City,WhatsApp Business,Pay on Delivery,2,32100.0,64200.0,Delivered,7,3.7
NG-10233,2023-05-14,Fashion,Port Harcourt,Instagram Shop,Card,2,30100.0,60200.0,Delivered,8,2.7
NG-10234,2023-01-14,Home & Living,Lagos,Jiji,Transfer,2,14500.0,29000.0,Delivered,5,4.3
NG-10235,2023-01-24,Fashion,Benin City,WhatsApp Business,Pay on Delivery,1,37300.0,0.0,Returned,1,
NG-10236,2023-12-30,Fashion,Lagos,Konga,USSD,4,32200.0,0.0,Returned,6,
NG-10237,2023-03-20,Fashion,Abuja,Instagram Shop,Pay on Delivery,3,35700.0,0.0,Cancelled,8,
NG-10238,2023-09-26,Food & Drink,Lagos,Konga,Card,1,6200.0,0.0,Cancelled,5,
NG-10239,2023-09-27,Home & Living,Port Harcourt,WhatsApp Business,Transfer,4,25400.0,101600.0,Delivered,3,2.7
NG-10240,2023-04-25,Food & Drink,Kano,WhatsApp Business,Transfer,4,1100.0,4400.0,Delivered,5,4.5
NG-10241,2023-12-17,Home & Living,Lagos,Jumia,USSD,4,43300.0,173200.0,Delivered,7,4.8
NG-10242,2023-07-12,Home & Living,Kano,Jiji,Card,1,39500.0,39500.0,Delivered,9,3.7
